------------------------------------------------------------------- 
Name: ami3 
Date: 2010-04-24 
Number of Terminations: 75 
Number of Bifurcations: 204 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Terminations : 
------------------------------------------------------------------- 
X          Y     Angle 
208 	 188 	 211.00 	 	 250.00 	 	 213.00 
265 	 215 	 23.00 	 	 217.00 	 	 233.00 
217 	 111 	 219.00 	 	 262.00 	 	 229.00 
119 	 231 	 84.00 	 	 238.00 	 	 48.00 
238 	  67 	 239.00 	 	 80.00 	 	 241.00 
128 	 242 	 213.00 	 	 244.00 	 	 143.00 
244 	 150 	 245.00 	 	 36.00 	 	 244.00 
164 	 245 	 206.00 	 	 245.00 	 	 156.00 
249 	 223 	 249.00 	 	 199.00 	 	 254.00 
289 	 256 	 155.00 	 	 257.00 	 	 232.00 
265 	 251 	 268.00 	 	 214.00 	 	 269.00 
159 	 273 	 245.00 	 	 282.00 	 	 262.00 
284 	 285 	 287.00 	 	 220.00 	 	 289.00 
237 	 292 	 192.00 	 	 292.00 	 	 199.00 
294 	 223 	 293.00 	 	 245.00 	 	 294.00 
 96 	 296 	 112.00 	 	 
